companyFullName,companyLabelList,financeStage,companySize,city,salary,secondType,workYear,education,positionName,positionLables,positionAdvantage,maxsalary,minsalary,avesalary,name,belong
北京思码逸科技有限公司,"['股票期权', '绩效奖金', '带薪年假', '定期体检']",A轮,15-50人,北京,20k-35k,交互,3-5年,本科,高级产品交互设计师,"['用户体验', 'Sketch']",国际协作、快速成长、优秀同仁、股票期权,35k,20k,27.5,硬件交互设计师,交互设计
广州良鸟科技有限公司,"['带薪年假', '专项奖金', '年度旅游', '弹性工作']",未融资,15-50人,广州,12k-15k,交互,3-5年,本科,高级交互设计师,"['Axure', 'Sketch']",年终奖+四大行产品实验室+银行前瞻产品研究,15k,12k,13.5,硬件交互设计师,交互设计
杭州半云科技有限公司,['无特殊要求'],天使轮,150-500人,杭州,8k-13k,交互,1-3年,本科,ued设计师,"['移动互联网', '界面设计', 'PS', 'Sketch']",五险一金 带薪年假 定期体检 节日福利,13k,8k,10.5,硬件交互设计师,交互设计
广州久邦世纪科技有限公司,"['扁平管理', '弹性工作', '带薪年假', '绩效奖金']",不需要融资,500-2000人,广州,10k-20k,交互,不限,大专,游戏UI设计师,"['游戏', '交互', 'UI', '设计']","弹性工作,餐补晚餐,上市公司,水果零食",20k,10k,15.0,硬件交互设计师,交互设计
中国平安人寿保险股份有限公司,"['绩效奖金', '带薪年假', '定期体检', '节日礼物']",上市公司,2000人以上,深圳,15k-30k,交互,3-5年,本科,0231YD-UI设计师,"['移动交互', 'UI', '用户体验', 'C端产品']","五险一金,绩效奖金,带薪年假,定期体检",30k,15k,22.5,硬件交互设计师,交互设计
特赞（上海）信息科技有限公司,"['技能培训', '扁平管理', '弹性工作', '全员持股']",C轮,150-500人,上海,25k-35k,交互,5-10年,本科,高级UI/UX设计师,"['UI', '用户体验', 'B端产品', '设计']",TOP级客户 宽松的发展平台 好机遇,35k,25k,30.0,硬件交互设计师,交互设计
杭州网兰科技有限公司,"['五险一金', '通讯津贴', '带薪年假', '定期体检']",B轮,150-500人,杭州,18k-28k,交互,3-5年,本科,交互设计师,['交互'],公司工作氛围好，正处于全速发展状态,28k,18k,23.0,硬件交互设计师,交互设计
北京福佑多多信息技术有限公司,"['节日礼物', '年底双薪', '定期体检', '七险一金']",D轮及以上,500-2000人,北京,15k-30k,交互,3-5年,本科,交互设计师,['交互'],福利待遇好，晋升通道宽,30k,15k,22.5,无线交互设计师,交互设计
北京小米科技有限责任公司,"['快速成长', '免费班车', '扁平管理', '技能培训']",D轮及以上,2000人以上,北京,15k-30k,交互,5-10年,不限,高级交互设计师,['移动互联网'],"弹性工作,带薪休假,团队氛围好",30k,15k,22.5,无线交互设计师,交互设计
百度在线网络技术（北京）有限公司,"['股票期权', '弹性工作', '五险一金', '免费班车']",不需要融资,2000人以上,北京,15k-30k,交互,不限,本科,交互设计师,['交互'],发展前景,30k,15k,22.5,硬件交互设计师,交互设计
